invoice_id,date,customer_id,product_id,quantity,unit_price
INV100150,2024-11-28,12529,P003,22,4.53
INV100151,2025-10-09,12011,P006,4,0.53
INV100152,2025-05-31,12685,P001,8,13.35
INV100153,2025-04-09,12648,P001,26,13.35
INV100154,2025-10-18,12635,P005,30,4.84
INV100155,2024-02-06,12636,P002,9,2.81
INV100156,2024-02-10,12294,P002,10,2.85
INV100157,2025-06-10,12274,P002,15,3.08
INV100158,2025-06-07,12134,P015,10,1.66
INV100159,2024-03-30,12758,P009,10,2.98
INV100160,2025-10-27,12395,P004,18,1.64
INV100161,2025-09-19,12489,P008,27,2.87
INV100162,2025-06-08,12559,P007,19,5.16
INV100163,2024-09-01,12331,P009,11,2.89
INV100163,2024-10-29,12058,P013,1,0.81
INV100164,2025-03-26,12673,P001,17,12.67
INV100165,2024-04-21,12533,P004,22,1.59
INV100166,2024-12-26,12143,P011,7,0.88
INV100167,2025-06-14,12097,P012,28,1.69
INV100168,2025-10-07,12725,P011,30,0.84
INV100169,2025-02-24,12784,P009,19,2.92
INV100169,2024-06-02,12427,P014,26,1.97
INV100170,2025-04-08,12709,P008,10,2.89
INV100171,2025-07-22,12609,P007,21,5.09
INV100172,2025-05-26,12389,P008,10,2.89
INV100173,2025-08-12,12386,P010,8,2.03
INV100174,2025-09-14,12248,P006,7,0.57
INV100174,2024-01-27,12048,P005,19,4.85
INV100175,2024-11-15,12551,P010,14,1.95
INV100176,2025-02-02,12475,P006,2,0.54
INV100176,2025-11-23,12069,P009,8,2.91
INV100177,2025-07-28,12587,P003,29,4.61
INV100178,2025-10-01,12601,P006,23,0.57
INV100179,2024-11-21,12375,P002,27,2.85
INV100180,2024-10-28,12706,P006,27,0.55
INV100180,2025-10-08,12160,P009,10,2.86
INV100181,2025-02-26,12186,P001,21,12.25
INV100182,2025-10-08,12651,P012,2,1.57
INV100183,2025-12-28,12707,P009,1,2.92
INV100184,2024-01-16,12684,P001,7,13.09
INV100185,2025-10-24,12544,P009,5,2.92
INV100186,2024-06-09,12530,P013,17,0.82
INV100187,2025-06-19,12502,P014,15,2.01
INV100188,2024-01-13,12700,P013,19,0.87
INV100189,2024-06-22,12033,P005,21,5.15
INV100190,2024-12-23,12196,P008,20,2.82
INV100191,2025-08-19,12782,P001,15,12.42
INV100192,2024-06-12,12601,P014,6,2.03
INV100193,2024-11-06,12428,P010,9,1.95
INV100193,2024-09-05,12693,P007,22,4.81
INV100194,2025-12-29,12496,P001,26,12.22
INV100195,2025-01-23,12191,P001,29,12.83
INV100196,2025-06-30,12394,P006,13,0.58
INV100197,2024-12-25,12567,P004,13,1.61
INV100198,2024-02-05,12285,P011,1,0.82
INV100199,2024-04-04,12201,P005,18,4.77
INV100200,2024-09-02,12163,P006,12,0.54
INV100201,2025-08-17,12213,P005,16,4.82
INV100202,2024-05-14,12723,P005,20,4.99
INV100203,2024-09-09,12413,P010,17,2.02
INV100204,2025-06-09,12093,P009,28,3.03
INV100205,2025-11-04,12735,P010,5,1.93
INV100206,2024-06-30,12794,P014,8,1.98
INV100207,2025-07-29,12370,P013,17,0.82
INV100208,2024-03-31,12231,P005,5,4.9
INV100209,2025-04-20,12793,P011,29,0.88
INV100209,2024-06-29,12030,P006,22,0.56
INV100210,2024-01-26,12674,P012,23,1.73
INV100211,2025-10-05,12100,P003,10,4.84
INV100212,2025-12-30,12693,P001,13,12.32
INV100213,2024-11-06,12159,P007,24,4.86
INV100214,2024-07-02,12578,P014,8,1.99
INV100215,2025-03-21,12686,P011,19,0.81
INV100216,2025-11-02,12293,P015,2,1.66
INV100217,2024-09-07,12697,P002,2,2.86
INV100217,2024-03-29,12427,P012,24,1.69
INV100218,2024-10-14,12539,P002,12,2.93
INV100218,2025-12-09,12515,P012,23,1.67
INV100219,2024-02-25,12692,P012,7,1.65
INV100219,2024-05-10,12501,P013,7,0.87
INV100220,2024-09-24,12178,P009,6,2.99
INV100221,2024-09-12,12060,P003,12,4.46
INV100222,2024-05-20,12139,P011,23,0.85
INV100223,2024-01-07,12527,P012,15,1.67
INV100224,2024-05-16,12724,P003,19,4.57
INV100225,2025-07-15,12434,P013,6,0.82
INV100225,2025-02-19,12211,P002,23,2.91
INV100226,2024-03-02,12287,P005,7,4.86
INV100226,2024-06-14,12332,P008,15,2.89
INV100227,2024-02-16,12011,P008,25,3.02
INV100228,2025-07-31,12270,P002,21,2.93
INV100229,2025-07-10,12329,P001,12,12.93
INV100230,2025-10-30,12716,P005,21,4.77
INV100231,2025-02-08,12148,P005,12,5.02
INV100232,2025-11-29,12172,P002,26,2.89
INV100233,2025-01-23,12188,P011,27,0.83
INV100234,2025-01-13,12259,P004,2,1.66
INV100235,2025-12-23,12412,P015,2,1.65
INV100236,2024-06-10,12306,P010,19,1.88
INV100237,2024-05-21,12453,P011,13,0.81
INV100238,2024-07-14,12223,P012,-12,1.71
INV100239,2025-06-07,12435,P003,10,4.44
INV100240,2024-12-12,12064,P008,1,3.05
INV100240,2024-06-17,12387,P005,1,4.98
INV100241,2024-07-19,12480,P002,18,2.94
INV100241,2025-10-02,12158,P007,20,5.1
INV100242,2025-11-23,12339,P010,22,1.96
INV100242,2025-05-07,12672,P011,5,0.84
INV100243,2024-01-29,12193,P004,22,1.68
INV100244,2025-08-15,12380,P009,19,2.91
INV100245,2025-03-27,12405,P005,4,5.18
INV100246,2024-04-24,12226,P014,27,1.87
INV100247,2024-09-14,12726,P008,8,2.87
INV100248,2024-04-25,12753,P009,30,2.83
INV100249,2024-03-16,12450,P003,28,4.65
INV100250,2024-04-27,12641,P012,17,1.7
INV100251,2024-06-24,12196,P010,16,1.88
INV100252,2024-02-28,12414,P004,2,1.57
INV100253,2024-08-06,12470,P005,4,4.91
INV100254,2025-09-28,12206,P010,4,2.02
INV100255,2024-12-15,12781,P012,-22,1.61
INV100256,2025-06-09,12754,P009,12,2.82
INV100257,2024-04-12,12364,P009,11,2.84
INV100257,2025-11-22,12248,P005,12,4.92
INV100258,2025-08-18,12450,P002,-26,2.84
INV100259,2024-07-08,12153,P009,30,3.01
INV100260,2024-05-27,12602,P015,9,1.68
INV100261,2025-03-30,12014,P001,11,12.73
INV100262,2024-02-02,12036,P002,6,2.99
INV100263,2025-05-02,12162,P012,28,1.61
INV100263,2025-06-13,12077,P006,11,0.54
INV100264,2025-10-01,12044,P004,6,1.69
INV100265,2025-04-24,12397,P015,12,1.62
INV100266,2024-08-20,12021,P004,15,1.67
INV100267,2025-11-18,12147,P005,13,4.95
INV100268,2025-08-05,12587,P009,19,3.1
INV100269,2025-07-28,12789,P002,28,2.93
INV100270,2024-04-11,12371,P013,10,0.83
INV100271,2024-05-24,12697,P002,10,2.9
INV100272,2025-10-12,12251,P006,28,0.54
INV100273,2024-12-11,12687,P006,29,0.55
INV100274,2024-09-06,12240,P006,5,0.52
INV100275,2025-04-09,12414,P008,13,2.89
INV100276,2024-03-08,12147,P005,24,5.06
INV100277,2024-12-14,12075,P015,7,1.58
INV100278,2025-08-17,12361,P008,12,3.01
INV100279,2024-03-10,12496,P006,29,0.57
INV100280,2024-06-17,12641,P005,8,4.81
INV100281,2024-07-24,12617,P005,28,4.75
INV100282,2024-02-28,12132,P010,2,2.01
INV100283,2024-12-15,12736,P003,1,4.67
INV100284,2025-10-17,12330,P015,1,1.62
INV100285,2025-10-26,12497,P007,20,4.87
INV100286,2025-02-28,12046,P002,21,3.03
INV100286,2025-02-13,12263,P008,-28,3.08
INV100287,2024-11-16,12057,P007,20,5.12
INV100288,2024-01-20,12159,P004,5,1.71
INV100289,2025-01-05,12433,P006,18,0.57
INV100290,2025-09-08,12588,P006,8,0.54
INV100291,2024-02-02,12794,P011,10,0.85
INV100292,2025-07-26,12284,P006,17,0.54
INV100293,2025-07-25,12487,P002,21,3.09
INV100294,2025-10-05,12233,P007,25,5.17
INV100295,2024-05-05,12061,P009,17,3.03
INV100296,2025-09-12,12374,P012,5,1.71
INV100297,2024-06-14,12541,P001,12,12.42
INV100297,2025-05-25,12218,P011,30,0.88
INV100298,2024-11-27,12027,P002,22,2.82
INV100299,2025-02-15,12690,P014,12,1.96
INV100300,2025-01-19,12672,P011,28,0.83
INV100301,2025-03-20,12247,P004,12,1.69
INV100302,2024-11-01,12510,P004,19,1.65
INV100302,2024-09-30,12769,P003,27,4.46
INV100303,2024-09-12,12165,P006,22,0.58
INV100304,2024-02-23,12214,P014,29,1.86
INV100305,2025-03-25,12186,P007,28,5.17
INV100306,2024-04-24,12155,P015,1,1.62
INV100307,2024-12-26,12099,P013,6,0.84
INV100308,2025-10-19,12681,P012,13,1.73
INV100309,2024-08-28,12206,P013,21,0.81
INV100310,2024-08-25,12588,P007,23,4.71
INV100310,2024-11-20,12066,P015,4,1.65
INV100311,2025-03-14,12002,P003,8,4.49
INV100312,2025-05-27,12115,P009,12,3.08
INV100313,2024-08-08,12229,P012,3,1.6
INV100314,2024-03-11,12044,P004,17,1.7
INV100314,2024-09-30,12010,P006,23,0.55
INV100315,2024-12-04,12706,P007,28,4.84
INV100316,2025-07-06,12429,P007,5,4.89
INV100317,2024-05-26,12650,P001,8,13.29
INV100318,2025-09-17,12747,P007,8,5.03
INV100319,2025-09-27,12034,P015,23,1.68
INV100320,2025-10-23,12453,P009,22,3.09
INV100321,2025-10-24,12481,P009,11,3.1
INV100322,2025-10-06,12761,P014,13,1.87
INV100322,2024-09-29,12627,P011,22,0.81
INV100323,2025-11-11,12228,P015,20,1.61
INV100324,2024-12-22,12534,P010,16,2.05
INV100325,2025-06-25,12372,P009,7,3.04
INV100326,2024-06-25,12156,P014,22,1.98
INV100327,2025-10-29,12044,P006,13,0.57
INV100328,2025-02-23,12157,P012,9,1.63
INV100329,2025-06-19,12533,P005,15,4.84
INV100330,2025-04-01,12711,P002,15,3.02
INV100331,2025-06-13,12153,P001,22,12.74
INV100332,2025-09-29,12379,P009,11,2.88
INV100333,2024-01-01,12584,P005,2,4.85
INV100334,2024-11-27,12261,P004,9,1.58
INV100335,2024-03-31,12206,P003,14,4.55
INV100336,2024-02-14,12734,P008,13,3.01
INV100337,2025-02-21,12441,P011,20,0.84
INV100338,2025-08-15,12132,P015,20,1.73
INV100339,2025-01-16,12064,P011,7,0.81
INV100340,2025-01-23,12402,P009,14,3.07
INV100341,2024-01-27,12110,P010,19,1.94
INV100342,2025-02-28,12484,P003,29,4.6
INV100343,2024-01-10,12686,P004,24,1.66
INV100343,2024-10-28,12567,P006,25,0.55
INV100344,2024-03-19,12584,P014,1,1.87
INV100345,2025-07-31,12465,P001,27,13.02
INV100346,2024-02-26,12563,P012,24,1.66
INV100346,2024-02-21,12641,P003,11,4.66
INV100347,2025-07-05,12281,P009,9,2.92
INV100348,2024-11-01,12569,P007,17,5.04
INV100349,2024-09-11,12389,P013,14,0.83
INV100350,2024-02-23,12212,P009,21,2.94
INV100351,2025-08-20,12144,P006,30,0.53
INV100351,2025-07-23,12679,P001,24,12.79
INV100352,2025-08-01,12331,P001,9,12.67
INV100353,2024-08-02,12606,P010,15,1.99
INV100354,2024-07-27,12059,P003,14,4.48
INV100355,2024-03-14,12610,P008,-6,3.02
INV100356,2024-06-17,12510,P004,22,1.69
INV100357,2025-07-01,12162,P003,25,4.51
INV100358,2024-04-07,12206,P013,3,0.84
INV100359,2024-09-20,12723,P015,15,1.59
INV100360,2025-12-13,12136,P001,6,12.49
INV100361,2025-08-19,12326,P012,18,1.62
INV100362,2025-07-15,12219,P003,26,4.52
INV100362,2024-12-01,12389,P003,21,4.72
INV100363,2024-07-21,12475,P003,24,4.57
INV100364,2024-02-09,12360,P002,22,3.1
INV100364,2025-06-22,12074,P005,16,5.07
INV100365,2024-04-05,12205,P008,9,2.98
INV100366,2024-03-31,12206,P003,16,4.83
INV100367,2024-08-20,12592,P015,10,1.67
INV100367,2024-12-18,12199,P003,22,4.5
INV100368,2025-05-07,12253,P006,24,0.53
INV100369,2024-03-12,12741,P009,15,2.97
INV100370,2025-09-01,12402,P008,2,2.95
INV100371,2025-10-24,12713,P003,14,4.58
INV100372,2025-11-10,12751,P003,12,4.86
INV100373,2025-10-22,12491,P005,5,4.76
INV100374,2024-06-05,12508,P005,18,4.86
INV100375,2025-08-05,12548,P001,17,13.32
INV100376,2025-07-22,12208,P003,30,4.82
INV100377,2024-04-07,12015,P002,2,3.04
INV100378,2025-12-06,12761,P004,3,1.59
INV100379,2024-02-01,12434,P007,20,4.85
INV100380,2024-03-27,12679,P010,7,1.97
INV100381,2025-12-28,12063,P014,8,1.92
INV100382,2024-08-08,12633,P013,23,0.83
INV100383,2025-04-17,12606,P015,-6,1.72
INV100384,2025-02-20,12033,P002,26,3.02
INV100385,2024-06-03,12352,P013,5,0.89
INV100386,2025-12-26,12068,P001,26,12.16
INV100387,2024-12-03,12070,P013,20,0.82
INV100388,2025-01-09,12421,P002,21,2.91
INV100389,2025-05-19,12688,P013,24,0.83
INV100390,2024-11-06,12054,P012,15,1.7
INV100391,2025-03-21,12395,P014,21,2.02
INV100392,2025-08-30,12544,P011,21,0.89
INV100393,2024-09-15,12768,P014,28,1.89
INV100394,2024-08-30,12504,P010,30,2.03
INV100395,2025-11-10,12404,P013,21,0.89
INV100396,2025-02-19,12089,P004,21,1.7
INV100397,2025-03-12,12312,P001,10,12.13
INV100398,2025-05-01,12428,P007,20,4.77
INV100399,2024-03-26,12362,P007,28,4.72
INV100400,2024-10-04,12191,P012,29,1.68
INV100401,2024-05-03,12221,P011,21,0.88
INV100402,2024-10-04,12340,P003,12,4.58
INV100403,2025-02-07,12315,P008,11,2.95
INV100403,2024-07-12,12166,P007,-17,5.12
INV100404,2024-09-08,12465,P010,26,2.0
INV100405,2025-07-19,12752,P014,25,1.93
INV100405,2024-09-16,12682,P007,3,4.87
INV100406,2024-10-29,12370,P005,22,5.04
INV100406,2025-11-23,12061,P015,21,1.63
INV100406,2024-02-28,12699,P002,18,2.89
INV100407,2024-06-04,12746,P010,24,2.04
INV100408,2024-01-08,12277,P003,7,4.69
INV100409,2025-02-05,12177,P012,19,1.61
INV100410,2024-10-25,12791,P009,1,3.09
INV100411,2025-11-23,12654,P007,16,5.05
INV100412,2024-10-11,12331,P003,27,4.8
INV100413,2024-12-21,12143,P004,17,1.58
INV100414,2025-06-17,12174,P011,10,0.86
INV100414,2025-01-03,12710,P003,9,4.86
INV100415,2024-11-24,12448,P007,4,4.88
INV100416,2025-04-28,12273,P002,7,2.99
INV100417,2025-02-22,12652,P003,25,4.44
INV100418,2025-07-02,12481,P011,18,0.84
INV100419,2025-02-05,12371,P012,30,1.7
INV100420,2024-05-04,12265,P008,-25,2.96
INV100421,2024-11-08,12362,P010,12,1.9
INV100422,2025-07-15,12098,P013,20,0.84
INV100423,2024-04-23,12314,P003,21,4.75
INV100424,2024-04-30,12793,P007,13,5.09
INV100425,2025-02-13,12401,P008,26,3.06
INV100426,2024-05-26,12544,P012,17,1.72
INV100427,2024-08-06,12346,P011,3,0.81
INV100428,2025-08-10,12683,P004,19,1.6
INV100429,2025-11-26,12135,P003,8,4.77
INV100430,2024-10-16,12034,P012,27,1.63
INV100431,2025-10-24,12721,P015,23,1.72
INV100432,2025-09-09,12619,P014,17,1.89
INV100433,2024-04-06,12368,P011,19,0.88
INV100434,2025-12-17,12529,P002,4,2.9
INV100435,2025-10-06,12782,P003,15,4.44
INV100436,2025-07-22,12609,P013,2,0.88
INV100437,2024-08-17,12301,P011,30,0.84
INV100438,2024-08-11,12569,P013,27,0.88
INV100439,2025-07-03,12730,P001,8,12.15
INV100440,2025-03-10,12383,P002,21,2.83
INV100441,2025-02-03,12524,P010,14,2.02
INV100441,2025-01-15,12544,P006,22,0.53
INV100442,2024-05-16,12441,P008,22,2.98
INV100443,2025-09-22,12194,P002,13,3.03
INV100444,2025-06-12,12016,P008,25,3.01
INV100445,2024-09-28,12206,P009,25,3.09
INV100446,2024-01-24,12757,P012,20,1.58
INV100447,2024-01-14,12656,P012,24,1.61
INV100448,2024-06-16,12578,P011,11,0.83
INV100449,2024-06-28,12707,P006,14,0.57
INV100450,2024-04-14,12351,P002,28,3.03
INV100451,2024-03-25,12345,P013,11,0.88
INV100452,2024-04-21,12540,P010,9,1.89
INV100453,2024-01-22,12197,P012,9,1.73
INV100454,2025-01-28,12164,P013,29,0.82
INV100455,2024-08-07,12745,P010,18,1.85
INV100456,2024-03-29,12474,P013,2,0.86
INV100456,2024-11-27,12346,P010,18,1.95
INV100457,2024-07-29,12007,P004,7,1.63
INV100458,2025-08-28,12129,P004,15,1.66
INV100459,2025-12-24,12450,P013,3,0.87
INV100460,2024-06-22,12409,P011,22,0.89
INV100461,2025-04-25,12708,P015,16,1.59
INV100462,2025-01-25,12064,P012,8,1.71
INV100463,2025-08-02,12763,P014,8,2.0
INV100464,2024-04-06,12204,P013,1,0.81
INV100465,2024-08-12,12793,P011,2,0.86
INV100465,2024-09-26,12042,P003,-15,4.77
INV100466,2025-12-28,12098,P003,5,4.49
INV100467,2024-04-18,12522,P013,29,0.88
INV100468,2024-01-31,12569,P011,27,0.86
INV100469,2025-07-04,12079,P012,2,1.67
INV100470,2025-11-17,12007,P009,24,2.86
INV100471,2025-04-13,12213,P002,23,2.86
INV100472,2024-04-23,12627,P002,18,3.0
INV100473,2024-09-01,12103,P002,12,2.89
INV100474,2025-05-20,12620,P010,11,1.85
INV100475,2024-04-26,12699,P012,25,1.65
INV100476,2025-02-21,12625,P010,21,2.0
INV100477,2024-03-22,12022,P014,2,1.86
INV100478,2025-03-17,12056,P003,20,4.62
INV100479,2024-09-15,12307,P014,12,1.93
INV100480,2024-06-15,12669,P011,30,0.86
INV100481,2024-11-29,12280,P013,-8,0.85
INV100482,2025-07-11,12365,P015,27,1.69
INV100483,2024-12-16,12081,P009,6,3.05
INV100484,2025-10-04,12345,P006,3,0.58
INV100485,2025-06-27,12054,P011,22,0.89
INV100486,2025-06-15,12706,P013,21,0.83
INV100487,2024-01-14,12731,P005,14,5.19
INV100488,2025-03-24,12629,P011,6,0.87
INV100489,2024-09-11,12349,P005,1,5.13
INV100490,2025-09-25,12671,P011,24,0.86
INV100491,2025-12-12,12400,P005,3,4.74
INV100492,2025-01-05,12076,P003,18,4.65
INV100492,2025-12-05,12280,P015,25,1.72
INV100493,2025-02-08,12418,P012,23,1.73
INV100494,2025-04-16,12350,P006,27,0.54
INV100495,2024-04-19,12213,P013,12,0.83
INV100496,2024-07-13,12074,P015,3,1.68
INV100497,2025-11-08,12269,P003,2,4.46
INV100497,2025-01-27,12260,P011,3,0.83
INV100498,2024-01-16,12274,P014,30,2.04
INV100499,2024-06-29,12141,P006,26,0.54
INV100500,2025-11-10,12114,P014,8,1.88
INV100501,2024-01-31,12229,P011,7,0.87
INV100502,2024-09-03,12656,P015,16,1.57
INV100503,2025-01-21,12378,P004,10,1.64
INV100504,2025-04-15,12568,P012,16,1.59
INV100505,2024-06-26,12236,P007,15,4.8
INV100506,2025-03-30,12480,P004,30,1.58
INV100507,2025-05-10,12762,P004,19,1.73
INV100507,2025-01-20,12112,P001,14,12.42
INV100508,2024-11-19,12217,P002,3,2.94
INV100508,2024-05-14,12076,P013,15,0.82
INV100509,2025-01-04,12069,P002,23,2.94
INV100510,2024-01-12,12642,P011,26,0.81
INV100511,2024-02-02,12550,P011,8,0.86
INV100512,2025-01-08,12148,P007,26,4.86
INV100513,2025-01-11,12672,P015,21,1.6
INV100514,2024-03-24,12460,P004,28,1.64
INV100515,2024-07-15,12311,P012,11,1.72
INV100516,2025-11-26,12169,P001,12,12.41
INV100517,2025-06-07,12760,P008,22,2.99
INV100518,2025-04-26,12206,P005,26,4.81
INV100518,2024-11-25,12032,P007,6,5.03
INV100519,2025-01-17,12788,P003,8,4.42
INV100520,2024-09-21,12621,P008,16,3.01
INV100521,2024-09-03,12575,P002,9,2.85
INV100522,2025-06-18,12138,P010,11,1.86
INV100523,2024-06-20,12082,P010,27,1.93
INV100524,2025-11-08,12228,P014,5,1.9
